pH,TDS,DO,K,Na,Ca,Mg,Cl,SO4,NO3,HCO3,S34SO4,O18SO4,O18H2O,H2H2O
2.140066163,6.11368218,2.712042222,1.467874348,3.697095609,4.113166316,3.115735066,4.184946707,4.875120984,1.332366019,4.701806904,13.5,8.9,-4.7,-36.08
2.163323026,6.021023349,2.975529566,0.963174318,3.454106037,4.202301704,2.874129452,4.108904714,4.739001534,2.263844265,4.631189337,15.5,10.1,-5.2,-39.49
2.151762203,6.035481433,2.235376343,1.337629189,3.623807457,4.118386557,2.933324813,3.972365234,4.799173248,0.717839793,4.88033339,9.5,10.1,-5,-37.96
2.151762203,5.424950017,2.994231147,0.871293366,2.922085733,3.712595981,1.998773639,3.233567374,3.414113607,1.425515074,4.772011163,9,13.8,-6.6,-44.85
2.197224577,6.37502482,2.981126121,2.444952334,4.49669371,3.783962335,3.338612506,4.562158295,4.723486413,1.940179474,5.264016727,10.2,8.9,-5.3,-38.76
2.163323026,6.561030666,2.513656063,2.709382646,4.848743619,3.606855619,3.477540948,4.842532175,4.889822674,0.620576488,5.41742694,9.7,8.9,-5.8,-42.62
2.116255515,6.507277712,2.178155015,2.612273246,4.638024523,4.094344562,2.788708104,4.58108239,4.720193863,3.194173212,5.454508615,8,9.3,-6,-42.9
2.163323026,5.796057751,2.445819261,1.635105659,3.455369861,3.852697539,2.786245049,3.506457892,3.853121898,1.415853163,5.22438142,12.2,9.3,-5.8,-41.34
2.163323026,5.241747015,2.31944221,0.631271777,1.742219024,3.703028877,2.135349174,1.437462648,3.240245851,1.340250423,4.899166338,8.3,12.5,-7.5,-48.24
2.163323026,6.045005314,2.284421122,1.45395301,3.530762586,4.169915749,3.088311455,4.039888376,4.109233175,1.381281819,5.266604051,14,8.3,-3.9,-36.35
2.104134154,5.80814249,2.189416395,2.385086315,4.329943555,3.72231423,3.104138147,4.438525109,4.487174628,2.337952237,5.148821015,9.3,13,-7,-50.24
2.066862759,5.826000107,1.906575144,2.218115936,4.459219131,3.741946175,3.205587931,4.519285447,4.639281716,2.295560478,5.157504138,9.2,13.1,-7.1,-51.2
2.079441542,5.693732139,2.104134154,2.211565695,4.214790715,3.787139823,3.036394255,4.337029269,4.327438444,2.498973907,5.185915139,9.3,12.1,-7.1,-50.35
